Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Lisbon town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1143230,1,"Norwich-New London, CT",943230,274055,CT
Ledyard town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1142600,1,"Norwich-New London, CT",942600,274055,CT
Lebanon town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1142390,1,"Hartford-West Hartford-East Hartford, CT",942390,1212381,CT
Montague town,MA03,MA,3,0,Franklin Regional Council of Governments,1142285,1,Not Applicable,2542285,-,MA
Litchfield,NH08,NH,8,0,Nashua Regional Planning Commission,1142260,1,"Boston-Cambridge-Quincy, MA-NH",3342260,4552402,Li
Monroe town,MA03,MA,3,0,Franklin Regional Council of Governments,1142040,1,Not Applicable,2542040,-,MA
Hudson,NH08,NH,8,0,Nashua Regional Planning Commission,1137940,1,"Boston-Cambridge-Quincy, MA-NH",3337940,4552402,Hu
Hollis,NH08,NH,8,0,Nashua Regional Planning Commission,1137140,1,"Boston-Cambridge-Quincy, MA-NH",3337140,4552402,Ho
Hillsborough,NH03,NH,3,0,Central New Hampshire RPC,1136180,1,Not Applicable,3336180,-,Hi
Leyden town,MA03,MA,3,0,Franklin Regional Council of Governments,1135285,1,Not Applicable,2535285,-,MA
Leverett town,MA03,MA,3,0,Franklin Regional Council of Governments,1135180,1,"Springfield, MA",2535180,692942,MA
Groton town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1134250,1,"Norwich-New London, CT",934250,274055,CT
Griswold town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1133900,1,"Norwich-New London, CT",933900,274055,CT
Hancock,NH07,NH,7,0,Southwest Region Planning Commission,1133700,1,Not Applicable,3333700,-,Ha
Highgate town,VT01,VT,1,0,Northwest RPC,1133025,1,Not Applicable,5033025,-,VT
Greenville,NH07,NH,7,0,Southwest Region Planning Commission,1131940,1,"Boston-Cambridge-Quincy, MA-NH",3331940,4552402,Gr
Greenfield,NH07,NH,7,0,Southwest Region Planning Commission,1131540,1,"Boston-Cambridge-Quincy, MA-NH",3331540,4552402,Gr
Franklin town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1129910,1,"Norwich-New London, CT",929910,274055,CT
Goffstown,NH04,NH,4,0,Southern New Hampshire Planning Commission,1129860,1,"Boston-Cambridge-Quincy, MA-NH",3329860,4552402,Go
Heath town,MA03,MA,3,0,Franklin Regional Council of Governments,1129650,1,Not Applicable,2529650,-,MA
Hawley town,MA03,MA,3,0,Franklin Regional Council of Governments,1129475,1,Not Applicable,2529475,-,MA
Georgia town,VT01,VT,1,0,Northwest RPC,1127700,1,"Burlington-South Burlington, VT",5027700,211261,VT
Francestown,NH04,NH,4,0,Southern New Hampshire Planning Commission,1127140,1,Not Applicable,3327140,-,Fr
Greenfield Town city,MA03,MA,3,0,Franklin Regional Council of Governments,1127101,1,Not Applicable,2527101,-,MA
Franklin town,VT01,VT,1,0,Northwest RPC,1127100,1,Not Applicable,5027100,-,VT
Fletcher town,VT01,VT,1,0,Northwest RPC,1126500,1,"Burlington-South Burlington, VT",5026500,211261,VT
Gill town,MA03,MA,3,0,Franklin Regional Council of Governments,1125730,1,Not Applicable,2525730,-,MA
Fairfield town,VT01,VT,1,0,Northwest RPC,1125225,1,Not Applicable,5025225,-,VT
Fairfax town,VT01,VT,1,0,Northwest RPC,1124925,1,"Burlington-South Burlington, VT",5024925,211261,VT
Enosburg town,VT01,VT,1,0,Northwest RPC,1123875,1,Not Applicable,5023875,-,VT
East Lyme town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1123400,1,"Norwich-New London, CT",923400,274055,CT
Erving town,MA03,MA,3,0,Franklin Regional Council of Governments,1121780,1,Not Applicable,2521780,-,MA
Deering,NH03,NH,3,0,Central New Hampshire RPC,1117780,1,Not Applicable,3317780,-,De
Deerfield town,MA03,MA,3,0,Franklin Regional Council of Governments,1116670,1,"Springfield, MA",2516670,692942,MA
Colchester town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1115910,1,"Hartford-West Hartford-East Hartford, CT",915910,1212381,CT
Conway town,MA03,MA,3,0,Franklin Regional Council of Governments,1115200,1,"Springfield, MA",2515200,692942,MA
Colrain town,MA03,MA,3,0,Franklin Regional Council of Governments,1114885,1,Not Applicable,2514885,-,MA
Charlemont town,MA03,MA,3,0,Franklin Regional Council of Governments,1112505,1,Not Applicable,2512505,-,MA
Buckland town,MA03,MA,3,0,Franklin Regional Council of Governments,1109595,1,Not Applicable,2509595,-,MA
Brookline,NH08,NH,8,0,Nashua Regional Planning Commission,1108100,1,"Boston-Cambridge-Quincy, MA-NH",3308100,4552402,Br
